[34548:28880:0322/004039.355:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[34548:27372:0322/004039.610:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[34548:28880:0322/004039.742:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[34548:7068:0322/004044.497:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata: IO error: C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata/MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:7068:0322/004044.501:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata: IO error: C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata/MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:7068:0322/004044.504:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata: IO error: C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata/MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:7068:0322/004044.509:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata: IO error: C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\shared_proto_db\metadata/MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:7068:0322/004046.096:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:7068:0322/004046.098:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[34548:13788:0322/004046.315:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\GCM Store\Encryption: IO error: C:\Users\Max\Documents\GitHub\Max-sUnrealEngineProj\Saved\webcache_6613_2\Default\GCM Store\Encryption/MANIFEST-000001 : Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21964:8644:0322/004048.092:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-959468BCDBAF2B931A2882ED30EC5BB9 will be ignored
[34548:24440:0322/011235.432:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034755.701:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/034801.718:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/034802.721:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=64})
[34548:24440:0322/034803.719:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=62})
[34548:24440:0322/034806.708:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=61})
[34548:24440:0322/034810.718:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=62})
[34548:24440:0322/034812.723:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/034813.709:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/034814.719:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/034815.715:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034816.717:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/034819.723:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=72})
[34548:24440:0322/034823.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=74})
[34548:24440:0322/034824.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=76})
[34548:24440:0322/034826.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=77})
[34548:24440:0322/034827.016:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=78})
[34548:24440:0322/034829.010:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=80})
[34548:24440:0322/034830.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=81})
[34548:24440:0322/034831.010:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=82})
[34548:24440:0322/034832.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=100})
[34548:28880:0322/034836.480:VERBOSE1:device_event_log_impl.cc(198)] [03:48:36.480] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/034836.480:VERBOSE1:device_event_log_impl.cc(198)] [03:48:36.481] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/034836.480:VERBOSE1:device_event_log_impl.cc(198)] [03:48:36.481] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/034845.739:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/034846.724:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=64})
[34548:24440:0322/034847.728:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/034850.728:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/034851.734:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/034854.865:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/034856.864:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=100})
[34548:28880:0322/034902.553:VERBOSE1:device_event_log_impl.cc(198)] [03:49:02.553] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/034902.553:VERBOSE1:device_event_log_impl.cc(198)] [03:49:02.554] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/034902.553:VERBOSE1:device_event_log_impl.cc(198)] [03:49:02.554] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/034915.262:VERBOSE1:device_event_log_impl.cc(198)] [03:49:15.262] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/034915.262:VERBOSE1:device_event_log_impl.cc(198)] [03:49:15.262] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/034915.262:VERBOSE1:device_event_log_impl.cc(198)] [03:49:15.262] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/034923.764:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/034924.755:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034925.753:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/034927.756:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034929.758:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034931.759:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034932.758:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034934.759:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/034936.751:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034938.766:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034941.757:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034947.761:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034948.764:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/034951.771:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034952.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/034953.765:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/034954.765:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/034957.761:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/034958.763:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035001.763:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035002.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/035004.775:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035007.763:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035011.860:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035012.858:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035013.860:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=100})
[34548:28880:0322/035029.625:VERBOSE1:device_event_log_impl.cc(198)] [03:50:29.625] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/035029.625:VERBOSE1:device_event_log_impl.cc(198)] [03:50:29.625] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/035029.625:VERBOSE1:device_event_log_impl.cc(198)] [03:50:29.625] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/035038.779:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035039.794:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035040.778:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035041.787:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035042.787:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=72})
[34548:24440:0322/035043.836:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=75})
[34548:24440:0322/035048.061:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=76})
[34548:24440:0322/035049.060:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=77})
[34548:24440:0322/035050.061:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=100})
[34548:28880:0322/035052.626:VERBOSE1:device_event_log_impl.cc(198)] [03:50:52.626] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/035052.626:VERBOSE1:device_event_log_impl.cc(198)] [03:50:52.626] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/035052.626:VERBOSE1:device_event_log_impl.cc(198)] [03:50:52.626] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/035059.787:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=72})
[34548:24440:0322/035101.796:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035102.796:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035103.791:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035104.795:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035105.798:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035106.791:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035107.803:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035108.802:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035109.803:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035110.796:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035113.797:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035116.794:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035117.793:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/035118.792:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035121.809:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035123.806:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035126.803:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035127.802:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035134.830:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/035138.814:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035144.812:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035147.816:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035157.815:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035158.818:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035201.816:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035202.820:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035204.828:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035206.819:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035208.823:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035209.820:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=68})
[34548:24440:0322/035211.826:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035214.820:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/035219.833:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035223.830:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035228.841:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035232.138:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:28880:0322/035232.871:VERBOSE1:device_event_log_impl.cc(198)] [03:52:32.870] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/035232.871:VERBOSE1:device_event_log_impl.cc(198)] [03:52:32.871] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/035232.871:VERBOSE1:device_event_log_impl.cc(198)] [03:52:32.871] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/035233.175:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035233.832:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035234.828:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035239.108:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=100})
[34548:28880:0322/035241.665:VERBOSE1:device_event_log_impl.cc(198)] [03:52:41.665] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/035241.665:VERBOSE1:device_event_log_impl.cc(198)] [03:52:41.665] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/035241.665:VERBOSE1:device_event_log_impl.cc(198)] [03:52:41.665] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/035249.834:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/035250.846:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035251.837:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/035252.847:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=64})
[34548:24440:0322/035254.845:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=63})
[34548:24440:0322/035255.857:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=65})
[34548:24440:0322/035256.857:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:28880:0322/035257.487:VERBOSE1:device_event_log_impl.cc(198)] [03:52:57.487] Display: EVENT: screen_win.cc:893 Displays updated, count: 2
[34548:28880:0322/035257.487:VERBOSE1:device_event_log_impl.cc(198)] [03:52:57.487] Display: EVENT: screen_win.cc:895 Display[2381203543] bounds=[-1707,0 1707x1067], workarea=[-1707,0 1707x1019], scale=1.5, rotation=0, panel_rotation=0 external detected
[34548:28880:0322/035257.487:VERBOSE1:device_event_log_impl.cc(198)] [03:52:57.487] Display: EVENT: screen_win.cc:895 Display[617627122] bounds=[0,0 1536x864], workarea=[0,0 1536x816], scale=1.25, rotation=0, panel_rotation=0 external detected
[34548:24440:0322/035259.844:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=66})
[34548:24440:0322/035300.846:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=67})
[34548:24440:0322/035301.844:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035304.848:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/035305.852:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035306.855:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=69})
[34548:24440:0322/035308.850:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=70})
[34548:24440:0322/035309.856:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
[34548:24440:0322/035312.846:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=73})
[34548:24440:0322/035313.857:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=72})
[34548:24440:0322/035317.858:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=73})
[34548:24440:0322/035320.860:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=72})
[34548:24440:0322/035322.852:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00000BB4022DAD40}, {new_limit=71})
